"V1","exchange.rate","cpi_au","cpi_us","cashrate_au","cashrate_us","export_au","export_us","import_au","import_us","realgdp_au","realgdp_us","unemployemtrate_au","unemployemtrate_us","exchange.rate.1","cpi_au.1","cpi_us.1","cashrate_au.1","cashrate_us.1","export_au.1","export_us.1","import_au.1","import_us.1","realgdp_au.1","realgdp_us.1","unemployemtrate_au.1","unemployemtrate_us.1","exchange.rate.2","cpi_au.2","cpi_us.2","cashrate_au.2","cashrate_us.2","export_au.2","export_us.2","import_au.2","import_us.2","realgdp_au.2","realgdp_us.2","unemployemtrate_au.2","unemployemtrate_us.2","exchange.rate.3","cpi_au.3","cpi_us.3","cashrate_au.3","cashrate_us.3","export_au.3","export_us.3","import_au.3","import_us.3","realgdp_au.3","realgdp_us.3","unemployemtrate_au.3","unemployemtrate_us.3"
1,0.783091044776119,4.07753744390572,4.03263681584354,13.03125,7.74336956521739,8.35184673882824,6.34244882990499,8.38106796151199,6.47278205734773,12.3567874294215,9.21021076357738,7.86619543333333,6.13333333333333,0.808363235294118,4.0517849478033,4.01655207553089,14.4423076923077,8.16021739130435,8.33254893925264,6.31923654618369,8.34307787116938,6.44588171104232,12.3509692092334,9.21935650422545,7.22394913333333,5.7,0.767971875,4.04480411666196,3.99943132029418,15.2991803278689,8.23934065934066,8.29354951506035,6.30248160367243,8.32603268595508,6.42123032108674,12.3566067935829,9.21869090898983,6.46376833333333,5.33333333333333,0.765891044776119,4.02891675689965,3.98932898706546,16.9234693877551,8.248,8.37116499031955,6.28828969397604,8.34505956100977,6.4405748607232,12.3555093749884,9.21506778015299,6.22915073333333,5.3
1,0.7786015625,4.07584109065754,4.04083055826927,12,6.43044444444444,8.33222814367686,6.35119456953836,8.40469616018909,6.43023063769736,12.3438108023016,9.20552037442887,8.7327058,6.6,0.783091044776119,4.07753744390572,4.03263681584354,13.03125,7.74336956521739,8.35184673882824,6.34244882990499,8.38106796151199,6.47278205734773,12.3567874294215,9.21021076357738,7.86619543333333,6.13333333333333,0.808363235294118,4.0517849478033,4.01655207553089,14.4423076923077,8.16021739130435,8.33254893925264,6.31923654618369,8.34307787116938,6.44588171104232,12.3509692092334,9.21935650422545,7.22394913333333,5.7,0.767971875,4.04480411666196,3.99943132029418,15.2991803278689,8.23934065934066,8.29354951506035,6.30248160367243,8.32603268595508,6.42123032108674,12.3566067935829,9.21869090898983,6.46376833333333,5.33333333333333
1,0.771853846153846,4.07753744390572,4.04674770244835,11.0161290322581,5.86406593406593,8.29712822971162,6.38136413867453,8.41360887515967,6.41986625537404,12.3422193652035,9.21328702632293,9.63409376666667,6.83333333333333,0.7786015625,4.07584109065754,4.04083055826927,12,6.43044444444444,8.33222814367686,6.35119456953836,8.40469616018909,6.43023063769736,12.3438108023016,9.20552037442887,8.7327058,6.6,0.783091044776119,4.07753744390572,4.03263681584354,13.03125,7.74336956521739,8.35184673882824,6.34244882990499,8.38106796151199,6.47278205734773,12.3567874294215,9.21021076357738,7.86619543333333,6.13333333333333,0.808363235294118,4.0517849478033,4.01655207553089,14.4423076923077,8.16021739130435,8.33254893925264,6.31923654618369,8.34307787116938,6.44588171104232,12.3509692092334,9.21935650422545,7.22394913333333,5.7
1,0.781975362318841,4.08260930600368,4.05458317404153,10.1969696969697,5.64521739130435,8.31597419751782,6.39792083050625,8.4379335104306,6.43240779675397,12.3466386124171,9.21832788667634,9.83479946666667,6.86666666666667,0.771853846153846,4.07753744390572,4.04674770244835,11.0161290322581,5.86406593406593,8.29712822971162,6.38136413867453,8.41360887515967,6.41986625537404,12.3422193652035,9.21328702632293,9.63409376666667,6.83333333333333,0.7786015625,4.07584109065754,4.04083055826927,12,6.43044444444444,8.33222814367686,6.35119456953836,8.40469616018909,6.43023063769736,12.3438108023016,9.20552037442887,8.7327058,6.6,0.783091044776119,4.07753744390572,4.03263681584354,13.03125,7.74336956521739,8.35184673882824,6.34244882990499,8.38106796151199,6.47278205734773,12.3567874294215,9.21021076357738,7.86619543333333,6.13333333333333
1,0.784246268656716,4.0926765051214,4.06211569129543,8.90625,4.81847826086956,8.36435276394445,6.42197505109963,8.41412633959554,6.45876139131415,12.3472118998452,9.22180727502445,10.2183904,7.1,0.781975362318841,4.08260930600368,4.05458317404153,10.1969696969697,5.64521739130435,8.31597419751782,6.39792083050625,8.4379335104306,6.43240779675397,12.3466386124171,9.21832788667634,9.83479946666667,6.86666666666667,0.771853846153846,4.07753744390572,4.04674770244835,11.0161290322581,5.86406593406593,8.29712822971162,6.38136413867453,8.41360887515967,6.41986625537404,12.3422193652035,9.21328702632293,9.63409376666667,6.83333333333333,0.7786015625,4.07584109065754,4.04083055826927,12,6.43044444444444,8.33222814367686,6.35119456953836,8.40469616018909,6.43023063769736,12.3438108023016,9.20552037442887,8.7327058,6.6
1,0.753368181818182,4.0926765051214,4.06911130906751,7.56349206349206,4.02428571428571,8.35514473946184,6.43821074433635,8.43301416317363,6.47052547243139,12.3549839092715,9.23370869344587,10.4162016333333,7.36666666666667,0.784246268656716,4.0926765051214,4.06211569129543,8.90625,4.81847826086956,8.36435276394445,6.42197505109963,8.41412633959554,6.45876139131415,12.3472118998452,9.22180727502445,10.2183904,7.1,0.781975362318841,4.08260930600368,4.05458317404153,10.1969696969697,5.64521739130435,8.31597419751782,6.39792083050625,8.4379335104306,6.43240779675397,12.3466386124171,9.21832788667634,9.83479946666667,6.86666666666667,0.771853846153846,4.07753744390572,4.04674770244835,11.0161290322581,5.86406593406593,8.29712822971162,6.38136413867453,8.41360887515967,6.41986625537404,12.3422193652035,9.21328702632293,9.63409376666667,6.83333333333333
1,0.758161538461538,4.08933202039856,4.07725113173586,6.87096774193548,3.77406593406593,8.40574007945472,6.43961072059281,8.46259620021302,6.49064917665457,12.3620117252166,9.24449336203858,10.6334375,7.6,0.753368181818182,4.0926765051214,4.06911130906751,7.56349206349206,4.02428571428571,8.35514473946184,6.43821074433635,8.43301416317363,6.47052547243139,12.3549839092715,9.23370869344587,10.4162016333333,7.36666666666667,0.784246268656716,4.0926765051214,4.06211569129543,8.90625,4.81847826086956,8.36435276394445,6.42197505109963,8.41412633959554,6.45876139131415,12.3472118998452,9.22180727502445,10.2183904,7.1,0.781975362318841,4.08260930600368,4.05458317404153,10.1969696969697,5.64521739130435,8.31597419751782,6.39792083050625,8.4379335104306,6.43240779675397,12.3466386124171,9.21832788667634,9.83479946666667,6.86666666666667
1,0.731197101449275,4.09100566095659,4.08508874791425,5.80681818181818,3.25923913043478,8.47539850175919,6.46047549630988,8.50322948439885,6.51893045027352,12.3719598958607,9.25432596503733,10.8214315,7.63333333333333,0.758161538461538,4.08933202039856,4.07725113173586,6.87096774193548,3.77406593406593,8.40574007945472,6.43961072059281,8.46259620021302,6.49064917665457,12.3620117252166,9.24449336203858,10.6334375,7.6,0.753368181818182,4.0926765051214,4.06911130906751,7.56349206349206,4.02428571428571,8.35514473946184,6.43821074433635,8.43301416317363,6.47052547243139,12.3549839092715,9.23370869344587,10.4162016333333,7.36666666666667,0.784246268656716,4.0926765051214,4.06211569129543,8.90625,4.81847826086956,8.36435276394445,6.42197505109963,8.41412633959554,6.45876139131415,12.3472118998452,9.22180727502445,10.2183904,7.1
1,0.698335820895522,4.09600984154116,4.0921609019928,5.75,3.03489130434783,8.53142477366296,6.46364705088164,8.54875645587236,6.53456760438346,12.3925895561738,9.26470051876064,11.1471540333333,7.36666666666667,0.731197101449275,4.09100566095659,4.08508874791425,5.80681818181818,3.25923913043478,8.47539850175919,6.46047549630988,8.50322948439885,6.51893045027352,12.3719598958607,9.25432596503733,10.8214315,7.63333333333333,0.758161538461538,4.08933202039856,4.07725113173586,6.87096774193548,3.77406593406593,8.40574007945472,6.43961072059281,8.46259620021302,6.49064917665457,12.3620117252166,9.24449336203858,10.6334375,7.6,0.753368181818182,4.0926765051214,4.06911130906751,7.56349206349206,4.02428571428571,8.35514473946184,6.43821074433635,8.43301416317363,6.47052547243139,12.3549839092715,9.23370869344587,10.4162016333333,7.36666666666667
1,0.688680303030303,4.10429489307527,4.10058201326017,5.69444444444444,3.04233333333333,8.50464816391394,6.46708673763537,8.53751855787748,6.55009413462188,12.3994289285064,9.2663685640227,10.9012584666667,7.13333333333333,0.698335820895522,4.09600984154116,4.0921609019928,5.75,3.03489130434783,8.53142477366296,6.46364705088164,8.54875645587236,6.53456760438346,12.3925895561738,9.26470051876064,11.1471540333333,7.36666666666667,0.731197101449275,4.09100566095659,4.08508874791425,5.80681818181818,3.25923913043478,8.47539850175919,6.46047549630988,8.50322948439885,6.51893045027352,12.3719598958607,9.25432596503733,10.8214315,7.63333333333333,0.758161538461538,4.08933202039856,4.07725113173586,6.87096774193548,3.77406593406593,8.40574007945472,6.43961072059281,8.46259620021302,6.49064917665457,12.3620117252166,9.24449336203858,10.6334375,7.6
